Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study
SRR13765888	WGS	300	13025209800	PRJNA702770	SAMN18029488	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	3942448459	SHENYANG AGRICULTURAL UNIVERSITY	20-Dec-2016	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152257	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.10 E	W28	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	W28	SRP306992
SRR13765885	WGS	299	12314830541	PRJNA702770	SAMN18029484	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	3882642924	SHENYANG AGRICULTURAL UNIVERSITY	26-Sep-2017	public	sra	"ncbi	s3"	"ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152260	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41.8 N 123.39 E	ASW03	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-26T00:00:00Z	ASW03	SRP306992
SRR13765889	WGS	300	14289226800	PRJNA702770	SAMN18029487	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	4333215273	SHENYANG AGRICULTURAL UNIVERSITY	20-Dec-2016	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152256	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.9 E	W27	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	W27	SRP306992
SRR13765890	WGS	300	12333471300	PRJNA702770	SAMN18029483	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	5602623741	SHENYANG AGRICULTURAL UNIVERSITY	29-Dec-2016	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152255	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.8 N 123 E	D23	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	D23	SRP306992
SRR13765891	WGS	300	12867037500	PRJNA702770	SAMN18029482	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	5758871460	SHENYANG AGRICULTURAL UNIVERSITY	29-Dec-2016	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10152254	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.5 N 123 E	D20	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	D20	SRP306992
SRR13765887	WGS	300	12116818500	PRJNA702770	SAMN18029479	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	3757736483	SHENYANG AGRICULTURAL UNIVERSITY	2017-09-22	public	"fastq	sra"	"s3	gs	ncbi"	"ncbi.public	gs.US	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152258	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.8 N 123.38 E	ASD04	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	ASD04	SRP306992
SRR13765884	WGS	300	12447884100	PRJNA702770	SAMN18029485	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	3889234308	SHENYANG AGRICULTURAL UNIVERSITY	26-Sep-2017	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10152261	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41.8 N 123.37 E	ASW04	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	ASW04	SRP306992
SRR13765892	WGS	300	13573988100	PRJNA702770	SAMN18029481	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	4198709980	SHENYANG AGRICULTURAL UNIVERSITY	29-Dec-2016	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152253	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.4 N 123 E	D19	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	D19	SRP306992
SRR13765883	WGS	300	10140600900	PRJNA702770	SAMN18029486	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	3188387950	SHENYANG AGRICULTURAL UNIVERSITY	2017-09-26	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152262	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41.81 N 123.37 E	ASW05	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	ASW05	SRP306992
SRR13765886	WGS	300	12928353600	PRJNA702770	SAMN18029480	"MIMS.me	MIGS/MIMS/MIMARKS.host-associated"	3951900111	SHENYANG AGRICULTURAL UNIVERSITY	2017-09-22	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10152259	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.81 N 123.38 E	ASD05	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-22T00:00:00Z	ASD05	SRP306992
