	term	odif	pvals	num_enriched_exps	num_total_exps
canis lupus	canis lupus	-0.6024504692387903	0.0009990009990009652	-1.0	-1.0
wolf	wolf	-0.6024504692387903	0.0009990009990009652	-1.0	-1.0
LOWER IN canis lupus familiaris	LOWER IN canis lupus familiaris	-0.5363660062565171	0.0009990009990009652	-1.0	-1.0
LOWER IN dog	LOWER IN dog	-0.5363660062565171	0.0009990009990009652	-1.0	-1.0
acinonyx jubatus	acinonyx jubatus	-0.4005474452554745	0.0009990009990009652	-1.0	-1.0
raw meat diet	raw meat diet	-0.38164754953076124	0.0009990009990009652	-1.0	-1.0
LOWER IN dog food diet	LOWER IN dog food diet	-0.38073514077163706	0.0009990009990009652	-1.0	-1.0
namibia	namibia	-0.3555787278415016	0.0009990009990009652	-1.0	-1.0
cheetah	cheetah	-0.3269030239833159	0.0009990009990009652	-1.0	-1.0
adult organism	adult organism	-0.31921272158498437	0.0009990009990009652	-1.0	-1.0
state of minnesota	state of minnesota	-0.28245568300312834	0.0009990009990009652	-1.0	-1.0
south africa	south africa	-0.26120959332638155	0.0029970029970030065	-1.0	-1.0
wild	wild	-0.2605578727841502	0.003996003996003972	-1.0	-1.0
winter	winter	-0.251303441084463	0.0009990009990009652	-1.0	-1.0
panthera leo	panthera leo	-0.24126694473409802	0.0019980019980020414	-1.0	-1.0
lion	lion	-0.24126694473409802	0.0019980019980020414	-1.0	-1.0
mongolia	mongolia	-0.20607403545359754	0.003996003996003972	-1.0	-1.0
chest	chest	-0.1767466110531804	0.0019980019980020414	-1.0	-1.0
orchard	orchard	-0.1547184567257561	0.003996003996003972	-1.0	-1.0
commonwealth of massachusetts	commonwealth of massachusetts	0.154327424400417	0.003996003996003972	-1.0	-1.0
pan troglodytes	pan troglodytes	0.16058394160583941	0.0019980019980020414	-1.0	-1.0
LOWER IN amerindian	LOWER IN amerindian	0.1657977059436914	0.003996003996003972	-1.0	-1.0
LOWER IN hunter gatherer	LOWER IN hunter gatherer	0.1657977059436914	0.003996003996003972	-1.0	-1.0
LOWER IN venezuela	LOWER IN venezuela	0.1657977059436914	0.003996003996003972	-1.0	-1.0
LOWER IN female	LOWER IN female	0.17022940563086558	0.0029970029970030065	-1.0	-1.0
LOWER IN diarrhea	LOWER IN diarrhea	0.1725755995828989	0.003996003996003972	-1.0	-1.0
wistar rat	wistar rat	0.1750521376433786	0.0019980019980020414	-1.0	-1.0
nanchang city prefecture	nanchang city prefecture	0.18013555787278415	0.0009990009990009652	-1.0	-1.0
rattus	rattus	0.20607403545359754	0.0019980019980020414	-1.0	-1.0
colitis	colitis	0.20724713242961412	0.0019980019980020414	-1.0	-1.0
control	control	0.27163712200208545	0.0029970029970030065	-1.0	-1.0
LOWER IN high protein diet	LOWER IN high protein diet	0.2977059436913452	0.0009990009990009652	-1.0	-1.0
LOWER IN wolf	LOWER IN wolf	0.3725234619395203	0.0009990009990009652	-1.0	-1.0
LOWER IN canis lupus	LOWER IN canis lupus	0.3725234619395203	0.0009990009990009652	-1.0	-1.0
