	term	odif	pvals	num_enriched_exps	num_total_exps
LOWER IN asian	LOWER IN asian	-0.7604336043360433	0.0009990009990009652	1	2
european	european	-0.6970189701897018	0.0009990009990009652	1	3
caucasian	caucasian	-0.6531165311653117	0.0009990009990009652	1	3
LOWER IN thailand	LOWER IN thailand	-0.6016260162601627	0.0009990009990009652	1	6
LOWER IN rural community	LOWER IN rural community	-0.505691056910569	0.0009990009990009652	3	12
LOWER IN tunapuco *	LOWER IN tunapuco *	-0.492140921409214	0.0009990009990009652	1	1
LOWER IN peru	LOWER IN peru	-0.492140921409214	0.0009990009990009652	1	5
LOWER IN neonate *	LOWER IN neonate *	0.6888888888888889	0.0009990009990009652	1	1
hunter gatherer	hunter gatherer	0.7018970189701896	0.0009990009990009652	3	4
age 20 months *	age 20 months *	0.711111111111111	0.0009990009990009652	1	1
cron diet *	cron diet *	0.71869918699187	0.0009990009990009652	1	1
juvenile organism	juvenile organism	0.7252032520325203	0.0009990009990009652	2	6
macaca mulatta	macaca mulatta	0.7783197831978319	0.0009990009990009652	4	6
monkey	monkey	0.7924119241192412	0.0009990009990009652	7	14
