	term	odif	pvals	num_enriched_exps	num_total_exps
boechera stricta *	boechera stricta *	-0.24245451610525162	0.0009990009990009652	1	1
brassicaceae *	brassicaceae *	-0.24245451610525162	0.0009990009990009652	1	8
state of idaho	state of idaho	-0.2278528957931369	0.0009990009990009652	2	2
LOWER IN leaf	LOWER IN leaf	-0.21637293107699665	0.0009990009990009652	1	20
plant	plant	-0.21376985670380624	0.0009990009990009652	3	43
forest ecosystem	forest ecosystem	-0.19899283391927935	0.0009990009990009652	6	8
root	root	-0.1830693399020288	0.0009990009990009652	5	742
nasal cavity	nasal cavity	0.15225443018346083	0.0009990009990009652	6	10
feces	feces	0.15374153810173852	0.0009990009990009652	241	343
research facility	research facility	0.16075255286859308	0.0009990009990009652	67	161
farm	farm	0.1639886013813581	0.0009990009990009652	24	36
pair of nares	pair of nares	0.1892923145754371	0.0009990009990009652	8	13
bos taurus	bos taurus	0.19752860458435975	0.0009990009990009652	8	17
homo sapiens	homo sapiens	0.20791548142894553	0.0009990009990009652	177	288
