Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	Isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study
SRR14284303	AMPLICON	602	27524644	PRJNA723140	SAMN18805721	Metagenome or environmental	13793733	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"sra	fastq"	"gs	ncbi	s3"	"ncbi.public	s3.us-east-1	gs.US"	SRX10643039	China	Asia	China: Qinghai	Gyps himalayensis	Illumina MiSeq	feces	32.63 N 96.57 E	AWGB16SAA12967-8-7	PAIRED	PCR	GENOMIC	gut metagenome	ILLUMINA	2021-04-20T00:00:00Z	YS_f_2	SRP315538
SRR14284304	AMPLICON	602	19113500	PRJNA723140	SAMN18805720	Metagenome or environmental	10188775	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"sra	fastq"	"s3	ncbi	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX10643038	China	Asia	China: Qinghai	Gyps himalayensis	Illumina MiSeq	feces	32.63 N 96.57 E	AWGB16SAA13889-10-3	PAIRED	PCR	GENOMIC	gut metagenome	ILLUMINA	2021-04-20T00:00:00Z	YS_f_1	SRP315538
SRR14284305	AMPLICON	602	54242006	PRJNA723140	SAMN18805719	Metagenome or environmental	27396699	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"fastq	sra"	"s3	ncbi	gs"	"ncbi.public	s3.us-east-1	gs.US"	SRX10643037	China	Asia	China: Qinghai	Bovine	Illumina MiSeq	skin	34.63 N 101.78 E	AWGB16SAA27593-7-1	PAIRED	PCR	GENOMIC	skin metagenome	ILLUMINA	2021-04-20T00:00:00Z	carrion_8	SRP315538
SRR14284306	AMPLICON	602	19521656	PRJNA723140	SAMN18805718	Metagenome or environmental	9918077	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"sra	fastq"	"ncbi	gs	s3"	"gs.US	s3.us-east-1	ncbi.public"	SRX10643036	China	Asia	China: Qinghai	Bovine	Illumina MiSeq	skin	34.45 N 102.14 E	AWGB16SAA27592-6-7	PAIRED	PCR	GENOMIC	skin metagenome	ILLUMINA	2021-04-20T00:00:00Z	carrion_7	SRP315538
SRR14284307	AMPLICON	602	32084192	PRJNA723140	SAMN18805717	Metagenome or environmental	16257200	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"fastq	sra"	"gs	ncbi	s3"	"ncbi.public	gs.US	s3.us-east-1"	SRX10643035	China	Asia	China: Qinghai	Bovine	Illumina MiSeq	skin	35.72 N 99.54 E	AWGB16SAA60784-9-1	PAIRED	PCR	GENOMIC	skin metagenome	ILLUMINA	2021-04-20T00:00:00Z	carrion_6	SRP315538
SRR14284308	AMPLICON	602	51598022	PRJNA723140	SAMN18805716	Metagenome or environmental	25320499	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"fastq	sra"	"ncbi	gs	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX10643034	China	Asia	China: Qinghai	Bovine	Illumina MiSeq	skin	35.83 N 99.92 E	AWGB16SAA60783-8-7	PAIRED	PCR	GENOMIC	skin metagenome	ILLUMINA	2021-04-20T00:00:00Z	carrion_5	SRP315538
SRR14284309	AMPLICON	602	21148862	PRJNA723140	SAMN18805747	Metagenome or environmental	10590895	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"fastq	sra"	"ncbi	gs	s3"	"s3.us-east-1	gs.US	ncbi.public"	SRX10643033	China	Asia	China: Qinghai	Gyps himalayensis	Illumina MiSeq	feces	34.63 N 101.78 E	AWGB16SAA27591-6-6	PAIRED	PCR	GENOMIC	gut metagenome	ILLUMINA	2021-04-20T00:00:00Z	HN_f2_4	SRP315538
SRR14284310	AMPLICON	602	23574320	PRJNA723140	SAMN18805746	Metagenome or environmental	12311625	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"sra	fastq"	"gs	s3	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX10643032	China	Asia	China: Qinghai	Gyps himalayensis	Illumina MiSeq	feces	34.63 N 101.78 E	AWGB16SAA27590-6-5	PAIRED	PCR	GENOMIC	gut metagenome	ILLUMINA	2021-04-20T00:00:00Z	HN_f2_3	SRP315538
SRR14284311	AMPLICON	602	34525302	PRJNA723140	SAMN18805745	Metagenome or environmental	17994224	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"sra	fastq"	"gs	s3	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	SRX10643031	China	Asia	China: Qinghai	Gyps himalayensis	Illumina MiSeq	feces	34.63 N 101.78 E	AWGB16SAA27589-6-4	PAIRED	PCR	GENOMIC	gut metagenome	ILLUMINA	2021-04-20T00:00:00Z	HN_f2_2	SRP315538
SRR14284312	AMPLICON	602	28616672	PRJNA723140	SAMN18805744	Metagenome or environmental	14753645	"STATE KEY LABORATORY OF PLATEAU ECOLOGY AND AGRICULTURE	 QINGHAI UNIVERSITY"	2018-07-15	public	"fastq	sra"	"gs	s3	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	SRX10643030	China	Asia	China: Qinghai	Gyps himalayensis	Illumina MiSeq	feces	34.63 N 101.78 E	AWGB16SAA27588-6-3	PAIRED	PCR	GENOMIC	gut metagenome	ILLUMINA	2021-04-20T00:00:00Z	HN_f2_1	SRP315538
