	term	odif	pvals	num_enriched_exps	num_total_exps
LOWER IN control	LOWER IN control	-0.779260157671316	0.0009990009990009652	17	188
colitis	colitis	-0.5548817465130381	0.0009990009990009652	2	22
antibiotic	antibiotic	-0.5345664038811401	0.0009990009990009652	8	17
mouse	mouse	-0.5200121285627654	0.0009990009990009652	21	60
mus musculus	mus musculus	-0.5127349909035781	0.0009990009990009652	25	66
research facility	research facility	-0.48453608247422686	0.0009990009990009652	49	161
horse	horse	-0.4781685870224378	0.0009990009990009652	3	10
pan troglodytes	pan troglodytes	0.5912674348089753	0.0009990009990009652	2	4
LOWER IN nouabale-ndoki national park *	LOWER IN nouabale-ndoki national park *	0.6143117040630685	0.0009990009990009652	1	1
LOWER IN republic of congo *	LOWER IN republic of congo *	0.6143117040630685	0.0009990009990009652	1	1
LOWER IN age 1 week	LOWER IN age 1 week	0.6173438447543965	0.0009990009990009652	1	4
age 20 months *	age 20 months *	0.6500909642207399	0.0009990009990009652	1	1
chimpanzee	chimpanzee	0.6576713159490601	0.0009990009990009652	2	3
LOWER IN neonate *	LOWER IN neonate *	0.6834445118253487	0.0009990009990009652	1	1
