Run	new_sampleid	Assay Type	AvgSpotLen	Bases	BioProject	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Source_material_ID	SRA Study	type	comment
SRR9975181	SAMN12574866	AMPLICON	602	25699380	PRJNA559766	Metagenome or environmental	14526692	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722286	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR006-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR006-P1_S157_L001	PHMOR-0006	SRP218488	PH	non-tonsillitis
SRR9975182	SAMN12574867	AMPLICON	602	27438558	PRJNA559766	Metagenome or environmental	15567347	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722285	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR015-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR015-P1_S170_L001	PHMOR-0015	SRP218488	PH	non-tonsillitis
SRR9975183	SAMN12574868	AMPLICON	602	31301592	PRJNA559766	Metagenome or environmental	18050924	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722284	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR017-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR017-P1_S99_L001	PHMOR-0017	SRP218488	PH	non-tonsillitis
SRR9975192	SAMN12574869	AMPLICON	602	26524722	PRJNA559766	Metagenome or environmental	14890411	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722275	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR019-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR019-P1_S123_L001	PHMOR-0019	SRP218488	PH	non-tonsillitis
SRR9975204	SAMN12574870	AMPLICON	602	25735500	PRJNA559766	Metagenome or environmental	14784513	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722263	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR021-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR021-P1_S147_L001	PHMOR-0021	SRP218488	PH	non-tonsillitis
SRR9975080	SAMN12574871	AMPLICON	602	20985720	PRJNA559766	Metagenome or environmental	12265741	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722387	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR025-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR025-P1_S100_L001	PHMOR-0025	SRP218488	PH	non-tonsillitis
SRR9975203	SAMN12574872	AMPLICON	602	31437042	PRJNA559766	Metagenome or environmental	17414885	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722264	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR026-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR026-P1_S112_L001	PHMOR-0026	SRP218488	PH	non-tonsillitis
SRR9975205	SAMN12574873	AMPLICON	602	28330722	PRJNA559766	Metagenome or environmental	15887460	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722262	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR027-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR027-P1_S124_L001	PHMOR-0027	SRP218488	PH	non-tonsillitis
SRR9975019	SAMN12574874	AMPLICON	602	19345270	PRJNA559766	Metagenome or environmental	11481565	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722448	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR028-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR028-P1_S136_L001	PHMOR-0028	SRP218488	PH	non-tonsillitis
SRR9975161	SAMN12574875	AMPLICON	602	17031182	PRJNA559766	Metagenome or environmental	9705004	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722306	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR031-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR031-P1_S172_L001	PHMOR-0031	SRP218488	PH	non-tonsillitis
SRR9975043	SAMN12574876	AMPLICON	602	23266096	PRJNA559766	Metagenome or environmental	12992021	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722424	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR033-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR033-P1_S101_L001	PHMOR-0033	SRP218488	PH	non-tonsillitis
SRR9975044	SAMN12574877	AMPLICON	602	20989332	PRJNA559766	Metagenome or environmental	11703861	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722423	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR038-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR038-P1_S161_L001	PHMOR-0038	SRP218488	PH	non-tonsillitis
SRR9975045	SAMN12574878	AMPLICON	602	24780728	PRJNA559766	Metagenome or environmental	14676248	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722422	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR039-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR039-P1_S173_L001	PHMOR-0039	SRP218488	PH	non-tonsillitis
SRR9975046	SAMN12574879	AMPLICON	602	20841842	PRJNA559766	Metagenome or environmental	12391440	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722421	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR040-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR040-P1_S185_L001	PHMOR-0040	SRP218488	PH	non-tonsillitis
SRR9975039	SAMN12574880	AMPLICON	602	22664096	PRJNA559766	Metagenome or environmental	12919661	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722428	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR044-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR044-P1_S138_L001	PHMOR-0044	SRP218488	PH	non-tonsillitis
SRR9975040	SAMN12574881	AMPLICON	602	27049064	PRJNA559766	Metagenome or environmental	15306815	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722427	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR045-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR045-P1_S150_L001	PHMOR-0045	SRP218488	PH	non-tonsillitis
