Run	new_sampleid	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	datenum	collectiontime	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	included_in_final_analysis	Instrument	Isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	ScalingFactor	Seq_run	SRA Study	storage	time	timenum	feature.id2	IndividID2	Storage2	Seq_run2	Seq_depth_nospikein	HoursTilFrozen	scaling_factor	SampleDate	SampleTime	SampleTimeCat	HoursAfterSunrise	Month	Year	Season	AgeAtSamplingYears	AgeCat	Sex	GroupAtSampling	Condition_weight	SocialStatus	HoursSinceForagingStart	Temp_max	Temp_min	HourlyTemp	sum_rainfall_month	Bacterial_load	Observed	Shannon	MDS1_WU	MDS2_WU	MDS3_WU	MDS4_WU	MDS1_UU	MDS2_UU	MDS3_UU	MDS4_UU
SRR15930275	Sample1	AMPLICON	501	15479545	PRJNA764180	SAMN21469947	Metagenome or environmental	9348057	ULM UNIVERSITY	4/17/97	35537		public	"fastq	sra"	"gs	ncbi	s3"	"s3.us-east-1	gs.US	ncbi.public"	SRX12220446	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	FALSE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.799128 E	Feature2	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature2		RUN2	SRP337608	FROZEN			Feature1	ID 69	FROZEN	RUN1	26904	3.960795455	4.769478658	4/18/97	1899-12-30 08:29:00	MORNING	1.545277778	4	1997	WET SUMMER	0.126	YOUNG	F	Group 36	-101.9367497	Subordinate	0	32.7	15.2	16.7	25.4	128321	42	2.182477295	-0.124797339	0.033154975	0.019334839	0.12120994	-0.24583094	-0.288435628	-0.017029025	0.092803259
SRR15930276	Sample1	AMPLICON	501	19589966	PRJNA764180	SAMN21469946	Metagenome or environmental	11859210	ULM UNIVERSITY	4/18/97	35538	1899-12-30 08:29:00	public	"fastq	sra"	"ncbi	s3	gs"	"ncbi.public	gs.US	s3.us-east-1"	SRX12220445	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.799127 E	Feature1	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1	4.769478658	RUN1	SRP337608	FROZEN	8:29:00	0.35	Feature1	ID 69	FROZEN	RUN1	26904	3.960795455	4.769478658	4/18/97	1899-12-30 08:29:00	MORNING	1.545277778	4	1997	WET SUMMER	0.126	YOUNG	F	Group 36	-101.9367497	Subordinate	0	32.7	15.2	16.7	25.4	128321	42	2.182477295	-0.124797339	0.033154975	0.019334839	0.12120994	-0.24583094	-0.288435628	-0.017029025	0.092803259
SRR15930098	Sample10	AMPLICON	501	18785210	PRJNA764180	SAMN21469960	Metagenome or environmental	12313911	ULM UNIVERSITY	10/4/02	37533	1899-12-30 17:51:00	public	"fastq	sra"	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX12219951	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.799174 E	Feature15	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature15	0.355322403	RUN1	SRP337608	FROZEN	17:51:00	0.74	Feature15	ID 8	FROZEN	RUN1	11201	2.266299526	0.355322403	10/4/02	1899-12-30 17:51:00	AFTERNOON	11.58166667	10	2002	WET SUMMER	1.986	MIDDLEAGED	M	Group 39	-29.56713693	Subordinate	0.274973135	21.1	7.3	19.7	23.8	3983	168	4.032435699	0.17523428	0.11595574	0.10052636	-0.013234851	-0.280607692	0.109730555	-0.154828995	0.030272387
SRR15930172	Sample100	AMPLICON	501	18087283	PRJNA764180	SAMN21470051	Metagenome or environmental	11100655	ULM UNIVERSITY	10/22/04	38282	1899-12-30 17:53:00	public	"sra	fastq"	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX12220549	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.799255 E	Feature106	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature106	0.531547958	RUN1	SRP337608	FROZEN	17:53:00	0.75	Feature106	ID 7	FROZEN	RUN1	12315	2.232966192	0.531547958	10/22/04	1899-12-30 17:53:00	AFTERNOON	11.93111111	10	2004	WET SUMMER	4.63	MIDDLEAGED	M	Group 36	0.586910243	Subordinate	0.308306468	24.9	14.6	22.4	32	6545	156	3.702685429	0.19965392	0.012298206	0.050789252	0.136027579	-0.122594795	0.005752306	0.077234179	-0.147657575
SRR15931435	Sample1000	AMPLICON	501	23878336	PRJNA764180	SAMN21481694	Metagenome or environmental	13294248	ULM UNIVERSITY	3/18/17	42812	1899-12-30 11:03:00	public	"sra	fastq"	"ncbi	s3	gs"	"gs.US	s3.us-east-1	ncbi.public"	SRX12221526	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800085 E	Feature1028	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1028	9.021128205	RUN3	SRP337608	FREEZEDRIED	11:03:00	0.46	Feature1028	ID 189	FREEZEDRIED	RUN3	28986	0.872208639	9.021128205	3/18/17	1899-12-30 11:03:00	MORNING	4.367222222	3	2017	WET SUMMER	2.488	MIDDLEAGED	F	Group 35	0.545009827	Subordinate	2.996507978	37.7	11.8	32.7	152.4	261482	215	4.329207981	0.103206507	-0.11869957	0.043787836	0.03373519	0.275604035	0.055563593	0.035397704	0.018749728
SRR15931434	Sample1001	AMPLICON	501	6832921	PRJNA764180	SAMN21481695	Metagenome or environmental	3784807	ULM UNIVERSITY	3/20/17	42814		public	"sra	fastq"	"ncbi	gs	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX12221527	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	FALSE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800086 E	Feature1029	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1029		RUN3	SRP337608	FREEZEDRIED																																						
SRR15931433	Sample1002	AMPLICON	501	26365855	PRJNA764180	SAMN21481696	Metagenome or environmental	15419232	ULM UNIVERSITY	3/22/17	42816	1899-12-30 10:24:00	public	"sra	fastq"	"s3	ncbi	gs"	"gs.US	ncbi.public	s3.us-east-1"	SRX12221528	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800087 E	Feature1030	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1030	3.804090207	RUN1	SRP337608	FREEZEDRIED	10:24:00	0.43	Feature1030	ID 164	FREEZEDRIED	RUN1	38386	1.522208639	3.804090207	3/22/17	1899-12-30 10:24:00	MORNING	3.683888889	3	2017	WET SUMMER	3.049	MIDDLEAGED	F	Group 41	-46.16867149	Subordinate	2.346507978	33.6	13.2	27.5	12.2	146023	178	2.854370933	-0.198577284	-0.057126512	0.126435674	-0.082730495	0.223380219	0.052815394	0.011395857	0.066419176
SRR15931431	Sample1003	AMPLICON	501	17501341	PRJNA764180	SAMN21481697	Metagenome or environmental	10454709	ULM UNIVERSITY	4/15/17	42840	1899-12-30 17:58:00	public	"sra	fastq"	"s3	ncbi	gs"	"ncbi.public	gs.US	s3.us-east-1"	SRX12221530	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800088 E	Feature1031	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1031	4.484935897	RUN2	SRP337608	FREEZEDRIED	17:58:00	0.75	Feature1031	ID 233	FREEZEDRIED	RUN2	21132	1.689467535	4.484935897	4/15/17	1899-12-30 17:58:00	AFTERNOON	11.05583333	4	2017	WET SUMMER	0.118	YOUNG	M	Group 35	-129.6538613	Subordinate	0.78771425	25.3	11.5	21.6	45	94770	182	3.442117463	0.103872527	0.023111113	-0.135791284	-0.062618693	-0.186997545	0.13489037	0.212150967	0.050658891
SRR15931430	Sample1004	AMPLICON	501	17525021	PRJNA764180	SAMN21481698	Metagenome or environmental	10486033	ULM UNIVERSITY	4/16/17	42841	1899-12-30 09:23:00	public	"sra	fastq"	"s3	ncbi	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX12221531	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800089 E	Feature1032	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1032	7.854216099	RUN2	SRP337608	FREEZEDRIED	9:23:00	0.39	Feature1032	ID 231	FREEZEDRIED	RUN2	26243	3.060795455	7.854216099	4/16/17	1899-12-30 09:23:00	MORNING	2.464166667	4	2017	WET SUMMER	0.186	YOUNG	F	Group 3	-28.67674153	Subordinate	0.847858145	26.7	6.8	16	45	206114	234	4.357934991	-0.024087851	-0.16671941	0.065495826	-0.131377095	0.236429534	0.093559229	0.010994686	0.084732646
SRR15931429	Sample1005	AMPLICON	501	59503042	PRJNA764180	SAMN21481699	Metagenome or environmental	34997722	ULM UNIVERSITY	4/26/17	42851	1899-12-30 15:22:00	public	"sra	fastq"	"s3	ncbi	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX12221532	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800322 E	Feature1033	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1033	2.37041657	RUN4	SRP337608	FREEZEDRIED	15:22:00	0.64	Feature1033	ID 161	FREEZEDRIED	RUN4	68823	4.289467535	2.37041657	4/26/17	1899-12-30 15:22:00	AFTERNOON	8.360277778	4	2017	WET SUMMER	3.189	MIDDLEAGED	M	Group 29	127.6302443	Subordinate	6.831191478	27.1	9.5	24.5	45	163147	542	5.206690518	0.147768493	-0.090715482	0.071170099	-0.097822263	0.070609946	0.266326691	0.239732492	0.042910475
