	term	odif	pvals	num_enriched_exps	num_total_exps
soil	soil	-0.2591905409731114	0.0009990009990009652	69	100
rhizosphere	rhizosphere	-0.21692621638924459	0.0009990009990009652	36	46
desert	desert	-0.1846422855313702	0.0009990009990009652	4	7
triticum aestivum	triticum aestivum	-0.16208866837387956	0.0009990009990009652	9	10
depth (soil) 0-20cm	depth (soil) 0-20cm	-0.16037732074263766	0.0009990009990009652	8	40
depth (soil) 0-10cm	depth (soil) 0-10cm	-0.15803217029449426	0.0009990009990009652	7	12
LOWER IN root	LOWER IN root	-0.15218830025608202	0.0009990009990009652	6	742
LOWER IN duodenum	LOWER IN duodenum	0.17950304097311143	0.0009990009990009652	9	12
rectum	rectum	0.2114012483994877	0.0009990009990009652	10	10
adult	adult	0.21838068181818177	0.0009990009990009652	124	185
male	male	0.2220466549295775	0.0009990009990009652	29	43
homo sapiens	homo sapiens	0.22778489116517275	0.0009990009990009652	197	288
caecum	caecum	0.24949423815621008	0.0009990009990009652	38	41
feces	feces	0.35702584827144684	0.0009990009990009652	307	343
