	term	odif	pvals	num_enriched_exps	num_total_exps
LOWER IN control	LOWER IN control	-0.6629417879417882	0.0009990009990009652	46	188
hospital	hospital	-0.6039501039501038	0.0009990009990009652	9	9
crohn's disease	crohn's disease	-0.5730249480249481	0.0009990009990009652	10	13
saliva	saliva	-0.5544871794871795	0.0009990009990009652	46	46
diarrhea	diarrhea	-0.5514553014553015	0.0009990009990009652	5	7
LOWER IN adult	LOWER IN adult	-0.5317047817047817	0.0009990009990009652	11	185
dentition	dentition	-0.5108281358281359	0.0009990009990009652	22	22
pan troglodytes	pan troglodytes	0.5540540540540541	0.0009990009990009652	2	4
small village	small village	0.5665280665280664	0.0009990009990009652	3	3
rural community	rural community	0.5759702009702008	0.0009990009990009652	11	12
homosexual	homosexual	0.5772695772695772	0.0009990009990009652	4	5
msm	msm	0.5772695772695772	0.0009990009990009652	4	5
chimpanzee	chimpanzee	0.6216216216216216	0.0009990009990009652	2	3
LOWER IN crohn's disease	LOWER IN crohn's disease	0.7053880803880804	0.0009990009990009652	9	13
