	term	odif	pvals	num_enriched_exps	num_total_exps
ocean	ocean	-0.5625786163522012	0.0009990009990009652	3	15
english channel coastal waters of france *	english channel coastal waters of france *	-0.5286163522012579	0.0009990009990009652	1	1
pacific ocean	pacific ocean	-0.5169811320754717	0.0009990009990009652	3	25
LOWER IN water inlet *	LOWER IN water inlet *	-0.4811320754716982	0.0009990009990009652	1	1
bodega bay *	bodega bay *	-0.42106918238993707	0.0009990009990009652	1	1
sea water	sea water	-0.4069182389937108	0.0009990009990009652	8	35
LOWER IN saline water biofilm *	LOWER IN saline water biofilm *	-0.38176100628930826	0.0009990009990009652	1	1
filtered 0.2um	filtered 0.2um	0.8522012578616353	0.0009990009990009652	3	5
freshwater lake	freshwater lake	0.8654088050314465	0.0009990009990009652	4	4
lake	lake	0.8861635220125786	0.0009990009990009652	6	11
river	river	0.8874213836477987	0.0009990009990009652	9	11
depth (water) 1m	depth (water) 1m	0.8905660377358491	0.0009990009990009652	2	3
mississippi river	mississippi river	0.8915094339622641	0.0009990009990009652	2	3
fresh water	fresh water	0.909433962264151	0.0009990009990009652	18	29
