Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	participant_id	Platform	ReleaseDate	Sample Name	SRA Study	variable_region
SRR13985827	AMPLICON	602	13056176	PRJNA715083	SAMN18326449	Metagenome or environmental	8267612	CYKINSO INC	9/8/15	public	"fastq	sra"	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX10363244	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0028_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	28	ILLUMINA	2021-05-01T00:00:00Z	0028_V3V4	SRP311006	V3V4
SRR13985879	AMPLICON	602	14694820	PRJNA715083	SAMN18326467	Metagenome or environmental	9272840	CYKINSO INC	9/9/15	public	"sra	fastq"	"ncbi	s3	gs"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363192	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0046_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	46	ILLUMINA	2021-05-01T00:00:00Z	0046_V3V4	SRP311006	V3V4
SRR13985889	AMPLICON	602	6540128	PRJNA715083	SAMN18326523	Metagenome or environmental	4180550	CYKINSO INC	9/8/15	public	"fastq	sra"	"gs	s3	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363182	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0102_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	102	ILLUMINA	2021-05-01T00:00:00Z	0102_V3V4	SRP311006	V3V4
SRR13985906	AMPLICON	602	14794150	PRJNA715083	SAMN18326508	Metagenome or environmental	9295124	CYKINSO INC	9/7/15	public	"fastq	sra"	"ncbi	s3	gs"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363165	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0087_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	87	ILLUMINA	2021-05-01T00:00:00Z	0087_V3V4	SRP311006	V3V4
SRR13985989	AMPLICON	602	15289596	PRJNA715083	SAMN18326598	Metagenome or environmental	9563864	CYKINSO INC	9/8/15	public	"fastq	sra"	"s3	ncbi	gs"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363464	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0177_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	177	ILLUMINA	2021-05-01T00:00:00Z	0177_V3V4	SRP311006	V3V4
SRR13985619	AMPLICON	602	27064114	PRJNA715083	SAMN18326423	Metagenome or environmental	17472802	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363450	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0002_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	2	ILLUMINA	2021-05-01T00:00:00Z	0002_V3V4	SRP311006	V3V4
SRR13985620	AMPLICON	602	28521556	PRJNA715083	SAMN18326422	Metagenome or environmental	18090886	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363449	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0001_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	1	ILLUMINA	2021-05-01T00:00:00Z	0001_V3V4	SRP311006	V3V4
SRR13985650	AMPLICON	602	23235394	PRJNA715083	SAMN18326558	Metagenome or environmental	14746703	CYKINSO INC	8/6/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363420	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0137_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	137	ILLUMINA	2021-05-01T00:00:00Z	0137_V3V4	SRP311006	V3V4
SRR13985651	AMPLICON	602	26371212	PRJNA715083	SAMN18326557	Metagenome or environmental	16298955	CYKINSO INC	8/21/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363419	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0136_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	136	ILLUMINA	2021-05-01T00:00:00Z	0136_V3V4	SRP311006	V3V4
SRR13985652	AMPLICON	602	26940704	PRJNA715083	SAMN18326556	Metagenome or environmental	16829735	CYKINSO INC	8/15/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363418	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0135_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	135	ILLUMINA	2021-05-01T00:00:00Z	0135_V3V4	SRP311006	V3V4
