#SampleID	Altitude	Assay_Type	AvgSpotLen	BioSample	Experiment	LibrarySelection	LibrarySource	Library_Name	primer	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	datenum	geo_loc_name	lat_lon	replicate	primer2	samp_collect_device	samp_mat_process	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	Platform	SRA_Study	isolation_source	rel_to_oxygen
SRR6076571		WGS	600	SAMN07695496	SRX3216497	size fractionation	METAGENOMIC	PnB-0514-4S-mg	PnB	9/26/17	632	410	marine metagenome	9/26/17	SRR6076571	SRS2541572	PnB-0514-4S-mg	15-May-14	41774.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076572		WGS	600	SAMN07695495	SRX3216496	size fractionation	METAGENOMIC	PnB-0512-4S-mg	PnB	9/26/17	635	413	marine metagenome	9/26/17	SRR6076572	SRS2541571	PnB-0512-4S-mg	15-May-12	41044.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076573		WGS	600	SAMN07695498	SRX3216495	size fractionation	METAGENOMIC	PnB-0712-4S-mg	PnB	9/26/17	469	291	marine metagenome	9/26/17	SRR6076573	SRS2541570	PnB-0712-4S-mg	26-Jul-12	41116.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076574		WGS	600	SAMN07695497	SRX3216494	size fractionation	METAGENOMIC	PnB-0612-4S-mg	PnB	9/26/17	520	321	marine metagenome	9/26/17	SRR6076574	SRS2541569	PnB-0612-4S-mg	14-Jun-12	41074.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076575		WGS	600	SAMN07695492	SRX3216493	size fractionation	METAGENOMIC	PnB-0312-4-75-mg	PnB	9/26/17	712	471	marine metagenome	9/26/17	SRR6076575	SRS2541567	PnB-0312-4-75-mg	13-Mar-12	40981.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076576		WGS	600	SAMN07695491	SRX3216492	size fractionation	METAGENOMIC	PnB-02120$S-mg	PnB	9/26/17	476	300	marine metagenome	9/26/17	SRR6076576	SRS2541568	PnB-0212-4S-mg	17-Feb-12	40956.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076577		WGS	600	SAMN07695494	SRX3216491	size fractionation	METAGENOMIC	PnB-0512-4-75-mg	PnB	9/26/17	710	463	marine metagenome	9/26/17	SRR6076577	SRS2541566	PnB-0512-4-75-mg	15-May-12	41044.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076578		WGS	600	SAMN07695493	SRX3216490	size fractionation	METAGENOMIC	PnB-0312-4S-mg	PnB	9/26/17	630	410	marine metagenome	9/26/17	SRR6076578	SRS2541565	PnB-0312-4S-mg	13-Mar-12	40981.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076579		WGS	600	SAMN07695500	SRX3216489	size fractionation	METAGENOMIC	PnB-1112-4S-mg	PnB	9/26/17	655	416	marine metagenome	9/26/17	SRR6076579	SRS2541563	PnB-1112-4S-mg	15-Nov-12	41228.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6076580		WGS	600	SAMN07695499	SRX3216488	size fractionation	METAGENOMIC	PnB-1012-4S-mg	PnB	9/26/17	596	388	marine metagenome	9/26/17	SRR6076580	SRS2541564	PnB-1012-4S-mg	26-Oct-12	41208.00	USA: California	34.25 N 119.91 W	sequencing replicate = 1	= 1	CTD rosette	0.2-1.2 µm size fractionated	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
