Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	cycles	DATASTORE filetype	DATASTORE provider	DATASTORE region	dilution_factor	dilution_liquid	DNA_input_pg	Experiment	fresh_old	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	HOST	Instrument	iso_co_type	iso_run_nr	Isolation_Source	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	miseq_run_nr	ms_co_type	Organism	pcr_plate_nr	pico_ug_ul	Platform	qpcr_16S_ct	qpcr_16S_pgul	Raw	ReleaseDate	create_date	version	Sample Name	shared_id (run)	shared_id	SRA Study	Type
SRR14149323	AMPLICON	502	29791190	PRJNA718293	SAMN18629394	Metagenome or environmental	16136781	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"gs	s3	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	NA	NA	NA	SRX10518635	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	29	NP	52.1365344 N 5.2103806 E	366	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	41.652763	ILLUMINA	25.7463264465332	1.87567982356995	32916	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_538_2	L005_538	L005_538	SRP312669	sample
SRR14149324	AMPLICON	502	28234488	PRJNA718293	SAMN18629393	Metagenome or environmental	15881400	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	run.zq	sra"	"gs	s3	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518634	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	365	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	45.603066	ILLUMINA	27.9709720611572	0.382243830244988	31755	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_341_2	L005_341	L005_341	SRP312669	sample
SRR14149325	AMPLICON	502	64020060	PRJNA718293	SAMN18629392	Metagenome or environmental	34117745	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	sra	fastq"	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	NA	NA	NA	SRX10518633	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	NA	NA	52.1365344 N 5.2103806 E	364	PAIRED	PCR	METAGENOMIC	52	Zymo	metagenome	4	72.847494	ILLUMINA	NA	NA	64164	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	ms_co_Zymo_4_2	NA	NA	SRP312669	ms_co
SRR14149326	AMPLICON	502	33362920	PRJNA718293	SAMN18629391	Metagenome or environmental	19431116	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	run.zq	sra"	"s3	ncbi	gs"	"s3.us-east-1	gs.US	ncbi.public"	NA	NA	NA	SRX10518632	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	24	NP	52.1365344 N 5.2103806 E	363	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	30.3760986	ILLUMINA	29.7444591522217	0.12607871030923	26047	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_303_2	L005_303	L005_303	SRP312669	sample
SRR14149327	AMPLICON	502	50165362	PRJNA718293	SAMN18629390	Metagenome or environmental	28330769	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"s3	gs	ncbi"	"ncbi.public	gs.US	s3.us-east-1"	NA	NA	NA	SRX10518631	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	25	NP	52.1365344 N 5.2103806 E	362	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	14.9354118	ILLUMINA	29.1939277648926	0.137267081299797	49418	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_332_2	L005_332	L005_332	SRP312669	sample
SRR14149328	AMPLICON	502	31107434	PRJNA718293	SAMN18629389	Metagenome or environmental	15988158	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	fastq	sra"	"gs	ncbi	s3"	"gs.US	s3.us-east-1	ncbi.public"	NA	NA	NA	SRX10518630	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	27	NP	52.1365344 N 5.2103806 E	361	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	48.572208	ILLUMINA	26.4736766815186	0.909618509467691	43329	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_412_2	L005_412	L005_412	SRP312669	sample
SRR14149329	AMPLICON	502	24835948	PRJNA718293	SAMN18629065	Metagenome or environmental	13522542	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"ncbi	gs	s3"	"ncbi.public	gs.US	s3.us-east-1"	NA	NA	NA	SRX10518629	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	29	NP	52.1365344 N 5.2103806 E	37	PAIRED	PCR	METAGENOMIC	51	NA	metagenome	NA	45.04309	ILLUMINA	26.1514167785645	1.42743124160916	29419	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_536_1	L005_536	L005_536	SRP312669	sample
SRR14149330	AMPLICON	502	26624072	PRJNA718293	SAMN18629388	Metagenome or environmental	13987383	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	sra	fastq"	"gs	s3	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	NA	NA	NA	SRX10518628	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	28	NP	52.1365344 N 5.2103806 E	360	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	37.1278952	ILLUMINA	26.3450965881348	2.46611167676747	34998	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	L005_487_2	L005_487	L005_487	SRP312669	sample
SRR14149331	AMPLICON	502	48267300	PRJNA718293	SAMN18629387	Metagenome or environmental	24889032	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518627	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	27	NP	52.1365344 N 5.2103806 E	359	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	67.29466	ILLUMINA	20.377124786377	49.3961162865162	68294	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_408_2	L005_408	L005_408	SRP312669	sample
SRR14149332	AMPLICON	502	37569178	PRJNA718293	SAMN18629386	Metagenome or environmental	19729757	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"ncbi	s3	gs"	"s3.us-east-1	gs.US	ncbi.public"	NA	NA	NA	SRX10518626	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	28	NP	52.1365344 N 5.2103806 E	358	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	49.237698	ILLUMINA	26.0681533813477	2.98321666195989	50728	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_452_2	L005_452	L005_452	SRP312669	sample
SRR14149333	AMPLICON	502	38313142	PRJNA718293	SAMN18629385	Metagenome or environmental	21786688	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	sra	fastq"	"ncbi	gs	s3"	"s3.us-east-1	gs.US	ncbi.public"	NA	NA	NA	SRX10518625	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	25	NP	52.1365344 N 5.2103806 E	357	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	37.6884384	ILLUMINA	27.5992336273193	0.413602334447205	35389	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	L005_329_2	L005_329	L005_329	SRP312669	sample
SRR14149334	AMPLICON	502	26701882	PRJNA718293	SAMN18629384	Metagenome or environmental	15029767	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	fastq	sra"	"s3	ncbi	gs"	"s3.us-east-1	gs.US	ncbi.public"	NA	NA	NA	SRX10518624	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	28	NP	52.1365344 N 5.2103806 E	356	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	26.6555518	ILLUMINA	28.6780204772949	0.496131426189095	28557	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_488_2	L005_488	L005_488	SRP312669	sample
SRR14149335	AMPLICON	502	29142606	PRJNA718293	SAMN18629383	Metagenome or environmental	16834434	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"gs	ncbi	s3"	"s3.us-east-1	gs.US	ncbi.public"	NA	NA	NA	SRX10518623	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	24	NP	52.1365344 N 5.2103806 E	355	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	25.8124548	ILLUMINA	29.7513217926025	0.125499107525684	23611	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	L005_293_2	L005_293	L005_293	SRP312669	sample
SRR14149336	AMPLICON	502	43750806	PRJNA718293	SAMN18629382	Metagenome or environmental	21687769	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	sra	fastq"	"gs	ncbi	s3"	"s3.us-east-1	gs.US	ncbi.public"	NA	NA	NA	SRX10518622	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	25	NP	52.1365344 N 5.2103806 E	354	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	55.870254	ILLUMINA	23.7379360198975	5.97647717222571	65512	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_316_2	L005_316	L005_316	SRP312669	sample
SRR14149337	AMPLICON	502	41374338	PRJNA718293	SAMN18629381	Metagenome or environmental	19899798	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"s3	ncbi	gs"	"ncbi.public	gs.US	s3.us-east-1"	NA	NA	NA	SRX10518621	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	27	NP	52.1365344 N 5.2103806 E	353	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	61.08342	ILLUMINA	22.7229404449463	10.6210634112358	56004	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_432_2	L005_432	L005_432	SRP312669	sample
